parcel_id,district,zone,land_use,parcel_size_sqm,current_status,infrastructure_score,development_potential_score,estimated_value_aed,recommended_use
PRC-0019,Zayed City,Z-RES-05,residential,11964,developed,64,88,35420000,low_rise_residential
PRC-0020,Mohammed Bin Zayed City,Z-RES-04,residential,20646,developed,75,52,56130000,sustainable_residential
PRC-0021,Corniche,Z-CMU-03,community,12220,under_development,95,41,67570000,school_campus
PRC-0022,Saadiyat Island,Z-COM-04,commercial,8435,vacant,90,73,60800000,entertainment_retail
PRC-0023,Al Maqta,Z-RES-01,residential,11592,vacant,70,79,34000000,beachfront_residential
PRC-0024,Saadiyat Island,Z-CMU-03,community,8945,reserved,99,66,65000000,civic_center
PRC-0025,Al Reef,Z-CMU-02,community,10629,reserved,60,74,27800000,university_expansion
PRC-0026,Mussafah,Z-MIX-05,mixed_use,22143,vacant,73,76,51710000,transit_oriented_development
PRC-0027,Al Maqta,Z-HOS-01,hospitality,19127,under_development,77,75,60770000,urban_boutique_hotel
PRC-0028,Mohammed Bin Zayed City,Z-CMU-05,community,17595,developed,69,65,36230000,university_expansion
PRC-0029,Zayed City,Z-COM-01,commercial,7807,vacant,80,81,29120000,entertainment_retail
PRC-0030,Saadiyat Island,Z-CMU-03,community,8531,developed,90,67,68020000,civic_center
PRC-0031,Al Maryah Island,Z-MIX-04,mixed_use,12920,vacant,86,45,123270000,marina_mixed_use
PRC-0032,Al Khalidiyah,Z-MIX-04,mixed_use,18674,vacant,70,66,86000000,premium_mixed_use
PRC-0033,Al Khalidiyah,Z-HOS-05,hospitality,17079,vacant,81,89,95520000,marina_hotel
PRC-0034,Al Bahia,Z-IND-01,industrial,18170,under_development,62,76,50670000,light_logistics
PRC-0035,Al Maryah Island,Z-HOS-01,hospitality,13039,reserved,100,55,81910000,marina_hotel
PRC-0036,Al Reem Island,Z-RES-05,residential,11996,reserved,83,91,53340000,high_rise_residential
PRC-0037,Al Zahiyah,Z-RES-01,residential,15371,developed,89,62,53340000,beachfront_residential
PRC-0038,Al Zahiyah,Z-MIX-03,mixed_use,19039,developed,77,53,60780000,premium_mixed_use
PRC-0039,Al Reem Island,Z-RES-04,residential,10246,under_development,86,73,50950000,high_rise_residential
PRC-0040,Saadiyat Island,Z-MIX-03,mixed_use,28663,under_development,100,69,217320000,transit_oriented_development
PRC-0041,Al Reef,Z-IND-05,industrial,24156,reserved,63,67,53980000,light_logistics
PRC-0042,Masdar City,Z-RES-02,residential,8748,vacant,82,65,39870000,high_rise_residential
PRC-0043,Al Khalidiyah,Z-COM-04,commercial,5161,vacant,91,38,25590000,financial_offices
PRC-0044,Al Reef,Z-MIX-03,mixed_use,8949,under_development,62,78,21680000,marina_mixed_use
PRC-0045,Al Maqta,Z-HOS-05,hospitality,13236,under_development,72,50,33500000,urban_boutique_hotel
PRC-0046,Al Reem Island,Z-RES-05,residential,18689,vacant,91,63,75020000,high_rise_residential
PRC-0047,Mohammed Bin Zayed City,Z-RES-01,residential,17917,developed,73,53,45590000,low_rise_residential
PRC-0048,Masdar City,Z-CMU-04,community,13700,developed,81,82,59550000,civic_center
PRC-0049,Al Reef,Z-RES-03,residential,24344,under_development,53,77,71490000,mid_rise_residential
PRC-0050,Al Maqta,Z-RES-03,residential,20575,under_development,62,60,64140000,high_rise_residential
PRC-0051,Corniche,Z-RES-02,residential,14457,vacant,93,66,80000000,high_rise_residential
PRC-0052,Khalifa City,Z-COM-03,commercial,10646,developed,76,98,28620000,entertainment_retail
PRC-0053,Al Reef,Z-COM-01,commercial,6721,reserved,75,51,19490000,financial_offices
PRC-0054,Al Reef,Z-CMU-03,community,14266,developed,67,53,30250000,school_campus
PRC-0055,Al Zahiyah,Z-COM-04,commercial,11674,vacant,79,71,45380000,innovation_offices
PRC-0056,Al Maryah Island,Z-MIX-02,mixed_use,10338,reserved,100,39,77230000,premium_mixed_use
PRC-0057,Masdar City,Z-RES-02,residential,17169,vacant,93,69,84410000,low_rise_residential
PRC-0058,Al Bateen,Z-IND-04,industrial,16884,reserved,84,76,83360000,cleantech_manufacturing
PRC-0059,Al Bahia,Z-RES-03,residential,21370,developed,69,59,44440000,mid_rise_residential
PRC-0060,Al Bahia,Z-CMU-01,community,15715,reserved,59,70,44500000,healthcare_cluster
PRC-0061,Al Maryah Island,Z-COM-04,commercial,6922,developed,87,71,42500000,neighborhood_retail
PRC-0062,Mussafah,Z-RES-01,residential,8215,developed,69,66,19470000,high_rise_residential
PRC-0063,Al Reef,Z-IND-05,industrial,23567,under_development,72,61,54480000,warehousing_hub
PRC-0064,Al Khalidiyah,Z-COM-04,commercial,9755,developed,92,58,45990000,innovation_offices
PRC-0065,Mussafah,Z-MIX-05,mixed_use,23711,under_development,67,61,47920000,cultural_mixed_use
PRC-0066,Danet Abu Dhabi,Z-RES-05,residential,22408,under_development,84,67,86910000,high_rise_residential
PRC-0067,Masdar City,Z-MIX-02,mixed_use,12130,vacant,99,70,49720000,transit_oriented_development
PRC-0068,Yas Island,Z-RES-03,residential,16599,developed,94,67,76900000,beachfront_residential
PRC-0069,Al Maqta,Z-RES-05,residential,24753,vacant,68,93,71600000,affordable_housing
PRC-0070,Saadiyat Island,Z-RES-04,residential,12727,developed,99,68,97280000,low_rise_residential
PRC-0071,Al Zahiyah,Z-RES-02,residential,11914,under_development,77,68,49540000,high_rise_residential
PRC-0072,Saadiyat Island,Z-HOS-01,hospitality,14118,reserved,89,92,109700000,marina_hotel
PRC-0073,Khalifa City,Z-MIX-01,mixed_use,9561,vacant,71,85,26390000,transit_oriented_development
PRC-0074,Al Maryah Island,Z-COM-04,commercial,5160,developed,99,71,43150000,neighborhood_retail
PRC-0075,Al Reef,Z-COM-03,commercial,4698,developed,59,100,12400000,coworking_offices
PRC-0076,Corniche,Z-CMU-02,community,15282,vacant,83,64,116370000,civic_center
PRC-0077,Al Maqta,Z-COM-04,commercial,11750,developed,72,71,37240000,innovation_offices
PRC-0078,Al Maqta,Z-RES-03,residential,6224,under_development,74,51,15250000,sustainable_residential
PRC-0079,Al Raha Beach,Z-CMU-04,community,15899,vacant,84,67,80690000,healthcare_cluster
PRC-0080,Al Maqta,Z-HOS-02,hospitality,12029,developed,66,77,37370000,urban_boutique_hotel
PRC-0081,Mohammed Bin Zayed City,Z-CMU-02,community,14933,developed,73,75,38610000,healthcare_cluster
PRC-0082,Al Bahia,Z-MIX-04,mixed_use,10596,under_development,60,59,30300000,marina_mixed_use
PRC-0083,Al Bahia,Z-MIX-05,mixed_use,14845,vacant,67,68,54310000,marina_mixed_use
PRC-0084,Corniche,Z-RES-03,residential,17017,developed,100,69,80640000,beachfront_residential
PRC-0085,Al Raha Beach,Z-HOS-02,hospitality,18825,vacant,71,80,67610000,urban_boutique_hotel
PRC-0086,Al Zahiyah,Z-CMU-02,community,13033,under_development,73,82,67250000,school_campus
PRC-0087,Yas Island,Z-RES-03,residential,13050,developed,80,94,63120000,sustainable_residential
PRC-0088,Al Bateen,Z-RES-01,residential,20152,developed,94,90,131700000,sustainable_residential
PRC-0089,Al Zahiyah,Z-HOS-01,hospitality,8508,vacant,72,46,29710000,urban_boutique_hotel
PRC-0090,Al Bateen,Z-IND-02,industrial,17083,reserved,87,83,82460000,light_logistics
PRC-0091,Khalifa City,Z-COM-04,commercial,5550,vacant,76,78,18610000,entertainment_retail
PRC-0092,Khalifa City,Z-COM-01,commercial,9947,under_development,60,83,38650000,entertainment_retail
PRC-0093,Al Bahia,Z-IND-02,industrial,24806,vacant,74,92,82900000,cleantech_manufacturing
PRC-0094,Khalifa City,Z-MIX-02,mixed_use,20675,under_development,68,75,90100000,cultural_mixed_use
PRC-0095,Al Maqta,Z-MIX-02,mixed_use,21958,vacant,76,54,84280000,cultural_mixed_use
PRC-0096,Al Ghadeer,Z-MIX-03,mixed_use,22040,vacant,63,87,43900000,marina_mixed_use
PRC-0097,Khalifa City,Z-RES-05,residential,24533,developed,75,62,56450000,sustainable_residential
PRC-0098,Mohammed Bin Zayed City,Z-RES-02,residential,9984,vacant,64,74,31790000,low_rise_residential
PRC-0099,Al Khalidiyah,Z-COM-03,commercial,6440,developed,88,90,25590000,financial_offices
PRC-0100,Zayed City,Z-COM-04,commercial,4995,under_development,69,100,13470000,neighborhood_retail
PRC-0101,Corniche,Z-RES-01,residential,22035,under_development,92,94,92730000,mid_rise_residential
PRC-0102,Al Bahia,Z-RES-04,residential,13653,developed,67,59,40070000,high_rise_residential
PRC-0103,Zayed City,Z-COM-01,commercial,9618,vacant,72,52,25490000,financial_offices
PRC-0104,Al Ghadeer,Z-COM-05,commercial,10062,developed,62,84,15380000,innovation_offices
PRC-0105,Mussafah,Z-IND-01,industrial,15046,under_development,74,76,29720000,cleantech_manufacturing
PRC-0106,Al Reef,Z-MIX-02,mixed_use,23493,under_development,68,84,57490000,marina_mixed_use
PRC-0107,Al Maqta,Z-CMU-01,community,13563,developed,76,72,48210000,healthcare_cluster
PRC-0108,Yas Island,Z-MIX-04,mixed_use,23828,vacant,96,85,131560000,waterfront_mixed_use
PRC-0109,Al Maryah Island,Z-RES-02,residential,12574,developed,95,66,73150000,low_rise_residential
PRC-0110,Al Maqta,Z-IND-03,industrial,15250,under_development,84,84,52170000,warehousing_hub
PRC-0111,Al Reef,Z-RES-02,residential,18329,developed,72,68,44290000,affordable_housing
PRC-0112,Al Reem Island,Z-MIX-04,mixed_use,29713,under_development,95,62,139810000,cultural_mixed_use
PRC-0113,Al Shamkha,Z-IND-03,industrial,42692,developed,61,77,128770000,ev_assembly_facility
PRC-0114,Al Reem Island,Z-MIX-02,mixed_use,10639,vacant,84,72,57190000,premium_mixed_use
PRC-0115,Mussafah,Z-COM-03,commercial,3502,vacant,64,59,8280000,entertainment_retail
PRC-0116,Saadiyat Island,Z-HOS-05,hospitality,13143,vacant,88,100,92470000,urban_boutique_hotel
PRC-0117,Al Ghadeer,Z-CMU-01,community,8405,developed,59,72,24270000,university_expansion
PRC-0118,Masdar City,Z-RES-02,residential,17090,under_development,83,80,78130000,sustainable_residential
PRC-0119,Yas Island,Z-MIX-02,mixed_use,13585,reserved,82,76,78600000,transit_oriented_development
PRC-0120,Masdar City,Z-HOS-05,hospitality,14388,vacant,100,68,69140000,resort_hospitality
PRC-0121,Al Shamkha,Z-MIX-04,mixed_use,14511,vacant,63,87,40760000,waterfront_mixed_use
PRC-0122,Al Maqta,Z-IND-01,industrial,19519,vacant,75,64,48570000,cleantech_manufacturing
PRC-0123,Al Khalidiyah,Z-MIX-04,mixed_use,22994,developed,91,77,85780000,cultural_mixed_use
PRC-0124,Yas Island,Z-COM-01,commercial,5196,under_development,73,76,27360000,neighborhood_retail
PRC-0125,Al Bahia,Z-RES-04,residential,8726,developed,72,84,20200000,affordable_housing
PRC-0126,Mohammed Bin Zayed City,Z-IND-03,industrial,13214,vacant,66,66,40410000,light_logistics
PRC-0127,Al Reef,Z-RES-04,residential,24469,vacant,68,78,66260000,mid_rise_residential
PRC-0128,Al Zahiyah,Z-CMU-02,community,16293,reserved,81,82,60770000,civic_center
PRC-0129,Mussafah,Z-CMU-01,community,15941,under_development,65,82,41720000,university_expansion
PRC-0130,Al Khalidiyah,Z-RES-02,residential,8362,developed,91,74,59520000,beachfront_residential
PRC-0131,Mussafah,Z-COM-01,commercial,9938,developed,74,67,21930000,coworking_offices
PRC-0132,Al Raha Beach,Z-COM-05,commercial,7070,vacant,87,85,43040000,financial_offices
PRC-0133,Danet Abu Dhabi,Z-MIX-05,mixed_use,25289,under_development,74,86,88310000,waterfront_mixed_use
PRC-0134,Zayed City,Z-COM-04,commercial,8810,vacant,74,76,29810000,neighborhood_retail
PRC-0135,Al Bahia,Z-RES-01,residential,23685,reserved,63,83,70900000,low_rise_residential
PRC-0136,Al Maryah Island,Z-RES-01,residential,25763,under_development,81,60,189480000,sustainable_residential
PRC-0137,Al Bateen,Z-HOS-03,hospitality,5534,vacant,88,75,36120000,urban_boutique_hotel
PRC-0138,Mussafah,Z-HOS-02,hospitality,21456,vacant,60,77,49590000,marina_hotel
PRC-0139,Yas Island,Z-MIX-01,mixed_use,6870,under_development,93,60,31110000,waterfront_mixed_use
PRC-0140,Al Reef,Z-RES-04,residential,13230,developed,63,99,23170000,affordable_housing
PRC-0141,Danet Abu Dhabi,Z-RES-05,residential,24222,reserved,90,68,148130000,mid_rise_residential
PRC-0142,Danet Abu Dhabi,Z-COM-03,commercial,7956,developed,85,73,39760000,entertainment_retail
PRC-0143,Mussafah,Z-RES-03,residential,21801,vacant,81,46,59680000,mid_rise_residential
PRC-0144,Al Ghadeer,Z-MIX-01,mixed_use,25089,developed,55,60,53200000,cultural_mixed_use
PRC-0145,Corniche,Z-RES-02,residential,6231,under_development,94,100,36630000,sustainable_residential
PRC-0146,Al Maryah Island,Z-CMU-03,community,8337,developed,84,84,79020000,civic_center
PRC-0147,Saadiyat Island,Z-CMU-04,community,17219,vacant,87,51,114170000,healthcare_cluster
PRC-0148,Al Maqta,Z-HOS-04,hospitality,16136,under_development,78,70,67110000,marina_hotel
PRC-0149,Yas Island,Z-MIX-01,mixed_use,13696,vacant,87,76,73880000,marina_mixed_use
PRC-0150,Al Reem Island,Z-MIX-03,mixed_use,6260,developed,90,73,19410000,waterfront_mixed_use
PRC-0151,Al Reef,Z-MIX-03,mixed_use,14546,under_development,49,65,32840000,cultural_mixed_use
PRC-0152,Al Maqta,Z-COM-02,commercial,11682,under_development,73,54,26670000,innovation_offices
PRC-0153,Khalifa City,Z-HOS-02,hospitality,18970,developed,69,58,42270000,resort_hospitality
PRC-0154,Al Shamkha,Z-RES-04,residential,20842,under_development,66,92,60470000,high_rise_residential
PRC-0155,Al Bahia,Z-HOS-04,hospitality,18035,vacant,75,86,59870000,urban_boutique_hotel
PRC-0156,Al Reef,Z-RES-02,residential,10217,vacant,75,77,26830000,beachfront_residential
PRC-0157,Mussafah,Z-RES-04,residential,9884,vacant,69,79,14720000,high_rise_residential
PRC-0158,Al Bateen,Z-RES-05,residential,15496,under_development,95,60,83620000,low_rise_residential
PRC-0159,Al Raha Beach,Z-MIX-04,mixed_use,17698,under_development,80,76,80320000,transit_oriented_development
PRC-0160,Al Maqta,Z-HOS-03,hospitality,21916,vacant,63,68,74120000,resort_hospitality
PRC-0161,Danet Abu Dhabi,Z-RES-02,residential,18597,under_development,87,96,89500000,high_rise_residential
PRC-0162,Zayed City,Z-HOS-02,hospitality,21069,under_development,68,69,69200000,urban_boutique_hotel
PRC-0163,Danet Abu Dhabi,Z-RES-05,residential,24909,vacant,72,54,103270000,beachfront_residential
PRC-0164,Saadiyat Island,Z-RES-02,residential,17356,under_development,84,70,81730000,sustainable_residential
PRC-0165,Al Bateen,Z-MIX-02,mixed_use,28806,vacant,80,64,130300000,waterfront_mixed_use
PRC-0166,Masdar City,Z-HOS-02,hospitality,12697,vacant,97,70,36810000,urban_boutique_hotel
PRC-0167,Danet Abu Dhabi,Z-HOS-01,hospitality,5177,under_development,81,100,21360000,urban_boutique_hotel
PRC-0168,Saadiyat Island,Z-RES-04,residential,6776,vacant,93,46,42960000,mid_rise_residential
PRC-0169,Mohammed Bin Zayed City,Z-HOS-01,hospitality,14191,vacant,70,66,46870000,marina_hotel
PRC-0170,Al Shamkha,Z-IND-04,industrial,29885,vacant,62,95,92760000,cleantech_manufacturing
PRC-0171,Corniche,Z-RES-02,residential,8361,under_development,85,100,34530000,sustainable_residential
PRC-0172,Al Reef,Z-RES-02,residential,10601,vacant,59,67,30510000,beachfront_residential
PRC-0173,Danet Abu Dhabi,Z-HOS-04,hospitality,10515,vacant,80,40,62060000,resort_hospitality
PRC-0174,Al Zahiyah,Z-COM-05,commercial,9384,under_development,90,71,40010000,innovation_offices
PRC-0175,Al Ghadeer,Z-HOS-05,hospitality,13490,reserved,61,59,32030000,urban_boutique_hotel
PRC-0176,Al Bahia,Z-COM-02,commercial,10958,developed,63,70,35010000,neighborhood_retail
PRC-0177,Al Khalidiyah,Z-MIX-04,mixed_use,20044,developed,87,84,95400000,waterfront_mixed_use
PRC-0178,Zayed City,Z-COM-05,commercial,9154,vacant,79,58,29000000,innovation_offices
PRC-0179,Yas Island,Z-HOS-05,hospitality,12904,developed,89,58,64500000,marina_hotel
PRC-0180,Mohammed Bin Zayed City,Z-COM-05,commercial,8501,vacant,79,83,32700000,coworking_offices
PRC-0181,Al Bahia,Z-RES-04,residential,7889,under_development,59,71,27780000,sustainable_residential
PRC-0182,Khalifa City,Z-CMU-05,community,12452,developed,74,71,54480000,university_expansion
PRC-0183,Danet Abu Dhabi,Z-CMU-05,community,17029,developed,78,55,56450000,university_expansion
PRC-0184,Danet Abu Dhabi,Z-HOS-05,hospitality,8254,under_development,68,59,31720000,resort_hospitality
PRC-0185,Al Bateen,Z-MIX-02,mixed_use,8092,vacant,88,88,43660000,transit_oriented_development
PRC-0186,Al Bateen,Z-RES-04,residential,21770,under_development,93,74,124850000,low_rise_residential
PRC-0187,Al Ghadeer,Z-CMU-05,community,17634,vacant,55,89,36750000,healthcare_cluster
PRC-0188,Danet Abu Dhabi,Z-COM-01,commercial,3813,vacant,77,73,16060000,neighborhood_retail
PRC-0189,Al Raha Beach,Z-MIX-01,mixed_use,18892,under_development,90,71,91440000,premium_mixed_use
PRC-0190,Al Bahia,Z-RES-01,residential,17077,vacant,79,72,58370000,affordable_housing
PRC-0191,Al Khalidiyah,Z-MIX-05,mixed_use,28454,under_development,86,64,161150000,marina_mixed_use
PRC-0192,Mussafah,Z-MIX-03,mixed_use,25124,developed,56,58,47580000,waterfront_mixed_use
PRC-0193,Mohammed Bin Zayed City,Z-COM-05,commercial,4318,vacant,79,81,18920000,financial_offices
PRC-0194,Al Ghadeer,Z-RES-03,residential,20924,under_development,51,75,50970000,low_rise_residential
PRC-0195,Al Ghadeer,Z-CMU-01,community,14897,developed,56,76,43710000,school_campus
PRC-0196,Al Khalidiyah,Z-RES-02,residential,12256,developed,83,68,48670000,sustainable_residential
PRC-0197,Danet Abu Dhabi,Z-HOS-03,hospitality,12386,under_development,79,88,60590000,resort_hospitality
PRC-0198,Mussafah,Z-RES-02,residential,23337,developed,67,66,60680000,beachfront_residential
PRC-0199,Al Khalidiyah,Z-COM-01,commercial,10099,vacant,76,73,76440000,coworking_offices
PRC-0200,Mohammed Bin Zayed City,Z-COM-01,commercial,3638,under_development,61,81,12250000,financial_offices
PRC-0201,Al Ghadeer,Z-RES-04,residential,23184,under_development,59,76,47580000,mid_rise_residential
PRC-0202,Danet Abu Dhabi,Z-IND-05,industrial,12141,vacant,99,88,54140000,ev_assembly_facility
PRC-0203,Zayed City,Z-MIX-03,mixed_use,9138,vacant,63,77,28890000,marina_mixed_use
PRC-0204,Al Khalidiyah,Z-RES-02,residential,7486,developed,88,87,39290000,beachfront_residential
PRC-0205,Al Reef,Z-RES-02,residential,12279,vacant,64,68,29870000,beachfront_residential
PRC-0206,Danet Abu Dhabi,Z-MIX-03,mixed_use,20027,vacant,81,63,93800000,waterfront_mixed_use
PRC-0207,Al Reef,Z-IND-02,industrial,41859,vacant,59,83,123140000,warehousing_hub
PRC-0208,Al Zahiyah,Z-IND-04,industrial,21042,under_development,82,74,65060000,cleantech_manufacturing
PRC-0209,Masdar City,Z-CMU-03,community,10873,under_development,89,84,52940000,university_expansion
PRC-0210,Khalifa City,Z-RES-03,residential,18841,under_development,68,64,57950000,high_rise_residential
PRC-0211,Danet Abu Dhabi,Z-COM-01,commercial,5348,vacant,81,91,24470000,coworking_offices
PRC-0212,Al Shamkha,Z-HOS-05,hospitality,8796,developed,63,91,27110000,marina_hotel
PRC-0213,Al Raha Beach,Z-RES-03,residential,21495,developed,76,58,103410000,beachfront_residential
PRC-0214,Al Raha Beach,Z-IND-03,industrial,37651,reserved,80,59,195480000,light_logistics
PRC-0215,Al Bateen,Z-RES-01,residential,12761,developed,87,81,71660000,sustainable_residential
PRC-0216,Yas Island,Z-MIX-05,mixed_use,16585,vacant,99,86,78480000,transit_oriented_development
PRC-0217,Al Reem Island,Z-HOS-04,hospitality,17631,vacant,92,43,76370000,resort_hospitality
PRC-0218,Al Raha Beach,Z-RES-04,residential,24912,vacant,86,67,97860000,low_rise_residential
PRC-0219,Al Maryah Island,Z-COM-04,commercial,7290,under_development,82,68,46040000,innovation_offices
PRC-0220,Corniche,Z-RES-04,residential,13475,vacant,89,49,60590000,high_rise_residential
PRC-0221,Zayed City,Z-COM-01,commercial,5192,developed,65,68,13570000,neighborhood_retail
PRC-0222,Saadiyat Island,Z-MIX-01,mixed_use,10575,under_development,86,51,69060000,cultural_mixed_use
PRC-0223,Al Zahiyah,Z-COM-05,commercial,11617,under_development,79,50,37370000,innovation_offices
PRC-0224,Mohammed Bin Zayed City,Z-IND-03,industrial,42064,vacant,55,100,99120000,cleantech_manufacturing
PRC-0225,Danet Abu Dhabi,Z-HOS-02,hospitality,18534,under_development,72,57,137800000,marina_hotel
PRC-0226,Al Raha Beach,Z-RES-04,residential,19739,vacant,91,79,91860000,high_rise_residential
PRC-0227,Al Reef,Z-CMU-04,community,16718,reserved,62,53,46040000,healthcare_cluster
PRC-0228,Al Reef,Z-RES-04,residential,16960,developed,76,94,51400000,mid_rise_residential
PRC-0229,Saadiyat Island,Z-RES-05,residential,13683,under_development,92,62,88460000,beachfront_residential
PRC-0230,Al Ghadeer,Z-RES-05,residential,11736,vacant,55,53,22760000,beachfront_residential
PRC-0231,Al Khalidiyah,Z-IND-04,industrial,32383,vacant,100,75,192240000,light_logistics
PRC-0232,Al Maqta,Z-RES-02,residential,23775,developed,75,69,83770000,low_rise_residential
PRC-0233,Al Bateen,Z-RES-02,residential,22608,under_development,95,94,113730000,beachfront_residential
PRC-0234,Al Zahiyah,Z-CMU-01,community,14101,developed,84,60,46260000,university_expansion
PRC-0235,Al Shamkha,Z-COM-03,commercial,7554,vacant,54,30,15710000,neighborhood_retail
PRC-0236,Al Shamkha,Z-RES-03,residential,6620,developed,67,84,16220000,high_rise_residential
PRC-0237,Corniche,Z-COM-04,commercial,10443,vacant,84,81,42480000,innovation_offices
PRC-0238,Al Bateen,Z-RES-02,residential,21921,vacant,88,88,107240000,low_rise_residential
PRC-0239,Al Bahia,Z-RES-04,residential,19969,under_development,72,52,47920000,affordable_housing
PRC-0240,Corniche,Z-RES-01,residential,11868,vacant,93,68,45310000,beachfront_residential
PRC-0241,Mohammed Bin Zayed City,Z-HOS-05,hospitality,9149,reserved,71,92,26450000,marina_hotel
PRC-0242,Zayed City,Z-IND-02,industrial,35326,developed,67,69,126140000,light_logistics
PRC-0243,Danet Abu Dhabi,Z-RES-03,residential,9286,developed,79,91,38090000,sustainable_residential
PRC-0244,Khalifa City,Z-IND-02,industrial,25693,vacant,69,54,91660000,warehousing_hub
PRC-0245,Danet Abu Dhabi,Z-COM-03,commercial,9926,under_development,79,82,45710000,coworking_offices
PRC-0246,Saadiyat Island,Z-MIX-05,mixed_use,29812,reserved,96,57,225920000,waterfront_mixed_use
PRC-0247,Al Reem Island,Z-COM-02,commercial,9652,reserved,94,83,43060000,neighborhood_retail
PRC-0248,Zayed City,Z-MIX-05,mixed_use,27640,under_development,68,100,98940000,marina_mixed_use
PRC-0249,Al Shamkha,Z-CMU-03,community,12080,vacant,56,68,31560000,healthcare_cluster
PRC-0250,Corniche,Z-CMU-03,community,11391,under_development,97,77,44120000,university_expansion
PRC-0251,Al Shamkha,Z-CMU-05,community,17684,vacant,73,70,54500000,school_campus
PRC-0252,Al Bateen,Z-HOS-04,hospitality,20428,developed,97,66,101550000,urban_boutique_hotel
PRC-0253,Al Khalidiyah,Z-IND-01,industrial,20878,under_development,86,61,76500000,warehousing_hub
PRC-0254,Zayed City,Z-RES-05,residential,9424,developed,59,64,34090000,low_rise_residential
PRC-0255,Mohammed Bin Zayed City,Z-COM-05,commercial,6621,vacant,70,83,14120000,coworking_offices
PRC-0256,Al Maqta,Z-HOS-05,hospitality,13334,under_development,83,94,44480000,resort_hospitality
PRC-0257,Al Raha Beach,Z-MIX-04,mixed_use,9328,vacant,94,95,47810000,premium_mixed_use
PRC-0258,Al Khalidiyah,Z-MIX-03,mixed_use,17916,vacant,97,72,72930000,marina_mixed_use
PRC-0259,Danet Abu Dhabi,Z-IND-05,industrial,37794,vacant,79,59,163790000,light_logistics
PRC-0260,Al Bateen,Z-HOS-03,hospitality,17243,vacant,85,82,87330000,urban_boutique_hotel
PRC-0261,Al Reef,Z-COM-05,commercial,6762,developed,60,95,14060000,innovation_offices
PRC-0262,Zayed City,Z-COM-05,commercial,9452,under_development,71,61,23480000,innovation_offices
PRC-0263,Zayed City,Z-RES-05,residential,11622,vacant,71,60,27500000,low_rise_residential
PRC-0264,Al Bateen,Z-MIX-05,mixed_use,13017,reserved,100,58,63100000,waterfront_mixed_use
PRC-0265,Saadiyat Island,Z-RES-02,residential,10905,developed,98,81,74790000,affordable_housing
PRC-0266,Al Reef,Z-COM-05,commercial,10011,developed,67,69,27460000,neighborhood_retail
PRC-0267,Al Shamkha,Z-HOS-05,hospitality,13369,under_development,68,69,40420000,resort_hospitality
PRC-0268,Al Khalidiyah,Z-CMU-01,community,12191,developed,81,63,59930000,civic_center
PRC-0269,Al Maqta,Z-CMU-04,community,16171,vacant,73,57,52530000,school_campus
PRC-0270,Al Reef,Z-MIX-04,mixed_use,17787,developed,67,91,32220000,marina_mixed_use
PRC-0271,Mohammed Bin Zayed City,Z-RES-05,residential,7444,developed,69,35,25140000,low_rise_residential
PRC-0272,Al Raha Beach,Z-RES-01,residential,25591,vacant,84,81,138320000,beachfront_residential
PRC-0273,Al Reem Island,Z-COM-01,commercial,9319,developed,83,70,40710000,innovation_offices
PRC-0274,Al Shamkha,Z-HOS-04,hospitality,17556,under_development,56,75,45430000,urban_boutique_hotel
