community_id,district,population_estimate,occupancy_rate,service_demand_index,mobility_score,resident_experience_score,optimization_opportunity
COM-050,Mussafah,65215,0.84,88,62,74,improve_park_access
COM-051,Corniche,117696,0.88,64,84,92,add_community_events
COM-052,Al Bahia,4000,0.93,65,60,92,add_nursery_capacity
COM-053,Al Bateen,111133,0.89,55,95,87,improve_cycle_paths
COM-054,Al Raha Beach,116502,0.94,49,70,92,add_clinic_capacity
COM-055,Mussafah,61827,0.89,83,61,59,add_community_events
COM-056,Al Raha Beach,18406,0.8,62,84,88,improve_park_access
COM-057,Danet Abu Dhabi,50627,0.92,63,95,89,reduce_parking_pressure
COM-058,Al Reem Island,93667,0.94,63,76,84,add_community_events
COM-059,Danet Abu Dhabi,14672,0.82,73,73,83,reduce_parking_pressure
COM-060,Al Raha Beach,35479,0.85,57,93,86,reduce_parking_pressure
COM-061,Mohammed Bin Zayed City,4000,0.84,84,70,62,add_nursery_capacity
COM-062,Danet Abu Dhabi,60502,0.89,62,76,81,accelerate_transit_link
COM-063,Al Raha Beach,73678,0.98,54,75,92,improve_cycle_paths
COM-064,Yas Island,108183,0.89,60,92,92,expand_retail_offering
COM-065,Al Zahiyah,114246,0.89,69,61,77,add_clinic_capacity
COM-066,Al Maryah Island,163059,0.79,43,95,92,improve_bus_coverage
COM-067,Al Bateen,34271,0.89,44,84,92,add_community_events
COM-068,Al Bateen,91131,0.79,51,88,92,accelerate_transit_link
COM-069,Al Maqta,123652,0.9,74,73,80,expand_school_capacity
COM-070,Al Maqta,49697,0.93,62,72,89,add_community_events
COM-071,Masdar City,117110,0.89,44,79,92,add_grocery_retail
COM-072,Al Khalidiyah,41168,0.93,64,95,87,improve_last_mile_transit
COM-073,Al Ghadeer,77098,0.91,78,45,69,improve_last_mile_transit
COM-074,Al Khalidiyah,109790,0.96,61,86,92,add_community_events
COM-075,Danet Abu Dhabi,119621,0.96,61,66,86,add_nursery_capacity
COM-076,Mussafah,38686,0.95,82,64,57,improve_bus_coverage
COM-077,Al Khalidiyah,74790,0.98,51,91,92,expand_retail_offering
COM-078,Corniche,75032,0.88,50,76,92,add_community_events
COM-079,Mussafah,66315,0.84,83,65,71,expand_school_capacity
COM-080,Danet Abu Dhabi,74658,0.94,54,81,92,improve_cycle_paths
COM-081,Al Khalidiyah,156211,0.81,56,87,92,improve_cycle_paths
COM-082,Al Reem Island,29330,0.88,47,77,92,add_nursery_capacity
COM-083,Masdar City,60563,0.91,42,95,92,add_clinic_capacity
COM-084,Khalifa City,102949,0.83,69,58,84,reduce_parking_pressure
COM-085,Al Bahia,80908,0.92,57,59,92,add_clinic_capacity
COM-086,Corniche,9355,0.98,58,79,89,add_nursery_capacity
COM-087,Saadiyat Island,129643,0.81,43,91,92,expand_retail_offering
COM-088,Corniche,83922,0.98,50,88,92,add_nursery_capacity
COM-089,Al Zahiyah,118283,0.86,67,73,78,improve_last_mile_transit
COM-090,Corniche,6764,0.82,50,88,92,improve_park_access
