transaction_id,date,district,asset_type,transaction_value_aed,size_sqm,price_per_sqm,buyer_type
TXN-01516,2023-01-21,Al Raha Beach,retail,5839000,417,14002,individual
TXN-01945,2023-01-21,Danet Abu Dhabi,retail,3560000,252,14125,individual
TXN-03863,2023-01-21,Mohammed Bin Zayed City,apartment,1921000,211,9106,corporate
TXN-04877,2023-01-21,Mohammed Bin Zayed City,townhouse,2506000,272,9213,individual
TXN-00008,2023-01-22,Al Raha Beach,retail,16553000,878,18853,individual
TXN-00228,2023-01-22,Al Shamkha,apartment,1272000,225,5653,developer
TXN-00807,2023-01-23,Al Maqta,retail,4436000,449,9880,individual
TXN-01819,2023-01-23,Al Reem Island,townhouse,3879000,283,13708,individual
TXN-03319,2023-01-23,Masdar City,land,89981000,21936,4102,corporate
TXN-03377,2023-01-23,Zayed City,hotel,52870000,7161,7383,individual
TXN-04630,2023-01-23,Masdar City,office,5515000,465,11860,corporate
TXN-00268,2023-01-24,Zayed City,townhouse,3421000,303,11290,developer
TXN-03012,2023-01-24,Al Shamkha,hotel,27443000,6700,4096,corporate
TXN-01821,2023-01-25,Al Zahiyah,office,18521000,1317,14063,individual
TXN-02549,2023-01-25,Al Reem Island,hotel,56299000,7399,7609,developer
TXN-03989,2023-01-25,Al Bateen,villa,7062000,417,16936,individual
TXN-00403,2023-01-26,Al Maryah Island,apartment,2545000,103,24704,individual
TXN-00426,2023-01-26,Masdar City,hotel,82445000,11028,7476,developer
TXN-00533,2023-01-26,Al Reem Island,warehouse,20357000,5757,3536,individual
TXN-02861,2023-01-27,Al Maqta,apartment,1649000,167,9872,corporate
TXN-03648,2023-01-28,Al Bateen,townhouse,6739000,355,18983,fund
TXN-00884,2023-01-29,Al Maqta,apartment,2061000,248,8311,individual
TXN-02744,2023-01-29,Al Bateen,apartment,2672000,175,15269,individual
TXN-04192,2023-01-29,Mohammed Bin Zayed City,apartment,660000,83,7955,developer
TXN-02675,2023-01-30,Al Bahia,townhouse,1992000,239,8335,corporate
TXN-03846,2023-01-30,Masdar City,apartment,2118000,215,9851,corporate
TXN-04451,2023-01-30,Al Ghadeer,office,7399000,931,7947,individual
TXN-01782,2023-01-31,Zayed City,villa,5037000,487,10342,individual
TXN-02267,2023-01-31,Yas Island,villa,8221000,582,14126,individual
TXN-00484,2023-02-01,Mohammed Bin Zayed City,retail,4001000,342,11700,developer
TXN-03261,2023-02-01,Al Reef,villa,3273000,397,8244,individual
TXN-03687,2023-02-01,Masdar City,office,17577000,1304,13479,developer
TXN-03763,2023-02-01,Corniche,warehouse,8958000,2781,3221,individual
TXN-00130,2023-02-02,Al Maqta,apartment,1253000,133,9423,corporate
TXN-01947,2023-02-02,Al Shamkha,warehouse,2879000,1672,1722,fund
TXN-03166,2023-02-02,Masdar City,apartment,2201000,168,13103,developer
TXN-04987,2023-02-02,Yas Island,apartment,1226000,80,15330,fund
TXN-01096,2023-02-03,Corniche,land,28210000,6110,4617,fund
TXN-03464,2023-02-03,Khalifa City,apartment,1747000,178,9814,individual
TXN-00326,2023-02-04,Al Raha Beach,villa,9313000,695,13400,fund
TXN-00507,2023-02-04,Mussafah,apartment,1421000,229,6205,developer
TXN-00718,2023-02-04,Al Maqta,villa,6449000,563,11455,corporate
TXN-02584,2023-02-04,Saadiyat Island,apartment,3626000,173,20959,individual
TXN-04175,2023-02-04,Al Maqta,villa,5884000,592,9939,individual
TXN-00370,2023-02-05,Yas Island,apartment,2032000,109,18644,individual
TXN-00656,2023-02-05,Danet Abu Dhabi,hotel,59751000,7550,7914,developer
TXN-02623,2023-02-05,Al Khalidiyah,apartment,4440000,253,17550,individual
TXN-03150,2023-02-05,Corniche,office,23552000,1102,21372,individual
TXN-03766,2023-02-05,Mohammed Bin Zayed City,retail,1862000,197,9452,individual
TXN-03907,2023-02-05,Al Ghadeer,villa,1908000,300,6361,individual
TXN-04910,2023-02-05,Masdar City,townhouse,3117000,299,10425,individual
TXN-00864,2023-02-06,Masdar City,warehouse,11831000,4279,2765,individual
TXN-00932,2023-02-06,Al Shamkha,apartment,1364000,198,6888,developer
TXN-01427,2023-02-06,Al Maryah Island,retail,13584000,490,27723,corporate
TXN-01601,2023-02-06,Al Maryah Island,retail,21753000,548,39696,individual
TXN-02353,2023-02-06,Saadiyat Island,villa,5526000,286,19323,corporate
TXN-02643,2023-02-06,Al Maqta,apartment,1696000,231,7343,individual
TXN-03232,2023-02-06,Yas Island,apartment,2900000,186,15594,corporate
TXN-04304,2023-02-06,Yas Island,retail,14412000,867,16623,individual
TXN-00402,2023-02-07,Mussafah,apartment,1111000,192,5786,developer
TXN-01353,2023-02-07,Al Shamkha,apartment,1551000,188,8250,corporate
TXN-02814,2023-02-07,Masdar City,apartment,1956000,196,9978,developer
TXN-00731,2023-02-08,Saadiyat Island,apartment,1166000,71,16418,individual
TXN-04742,2023-02-08,Saadiyat Island,apartment,3479000,203,17139,fund
TXN-01384,2023-02-09,Saadiyat Island,office,20468000,1218,16805,corporate
TXN-01723,2023-02-09,Al Bateen,land,149495000,21962,6807,fund
TXN-02265,2023-02-09,Al Reef,apartment,557000,87,6398,individual
TXN-03191,2023-02-09,Masdar City,retail,6337000,648,9779,developer
TXN-03694,2023-02-09,Al Ghadeer,office,4618000,762,6060,individual
TXN-04154,2023-02-09,Al Raha Beach,land,84924000,19097,4447,individual
TXN-04376,2023-02-09,Saadiyat Island,office,29537000,1256,23517,individual
TXN-04386,2023-02-09,Yas Island,office,9888000,702,14086,corporate
TXN-00850,2023-02-10,Al Ghadeer,villa,2978000,423,7041,corporate
TXN-02836,2023-02-10,Mussafah,apartment,526000,77,6833,fund
TXN-04289,2023-02-10,Masdar City,apartment,3257000,244,13347,individual
TXN-02057,2023-02-11,Khalifa City,office,12045000,839,14356,individual
TXN-03212,2023-02-11,Al Bahia,apartment,491000,75,6544,individual
TXN-04101,2023-02-11,Al Maqta,apartment,541000,68,7956,developer
TXN-04198,2023-02-11,Al Reem Island,apartment,1137000,101,11262,individual
TXN-02199,2023-02-12,Al Shamkha,land,45507000,20056,2269,corporate
TXN-02750,2023-02-12,Al Reem Island,apartment,4102000,237,17310,individual
TXN-03615,2023-02-12,Al Khalidiyah,retail,7500000,531,14125,fund
TXN-03631,2023-02-12,Masdar City,office,7276000,555,13110,corporate
TXN-04959,2023-02-12,Mussafah,land,28861000,14643,1971,corporate
TXN-00839,2023-02-13,Corniche,apartment,1542000,104,14829,corporate
TXN-02201,2023-02-13,Al Zahiyah,hotel,87349000,11780,7415,individual
TXN-02345,2023-02-13,Mohammed Bin Zayed City,retail,8731000,718,12160,individual
TXN-02497,2023-02-13,Khalifa City,villa,5764000,443,13012,individual
TXN-02833,2023-02-13,Al Zahiyah,villa,8874000,614,14452,corporate
TXN-03472,2023-02-13,Danet Abu Dhabi,villa,6573000,510,12888,individual
TXN-04105,2023-02-13,Mussafah,office,5212000,795,6556,individual
TXN-04205,2023-02-13,Al Zahiyah,warehouse,6530000,2114,3089,individual
TXN-01472,2023-02-14,Mussafah,apartment,1094000,177,6180,individual
TXN-02906,2023-02-14,Masdar City,retail,4218000,245,17216,fund
TXN-03194,2023-02-14,Danet Abu Dhabi,townhouse,3155000,209,15097,individual
TXN-03236,2023-02-14,Al Bateen,hotel,82204000,7772,10577,corporate
TXN-03740,2023-02-14,Corniche,apartment,3614000,212,17045,fund
TXN-01554,2023-02-15,Al Maqta,apartment,2144000,257,8344,fund
TXN-01611,2023-02-15,Al Khalidiyah,townhouse,3714000,240,15473,corporate
TXN-00333,2023-02-16,Al Maqta,apartment,2238000,234,9564,developer
TXN-00784,2023-02-16,Al Raha Beach,land,125926000,29163,4318,individual
TXN-00808,2023-02-16,Al Maqta,land,103447000,28241,3663,developer
TXN-01071,2023-02-16,Al Shamkha,warehouse,12219000,5414,2257,individual
TXN-02885,2023-02-16,Al Khalidiyah,retail,6047000,403,15005,developer
TXN-03562,2023-02-16,Masdar City,warehouse,4461000,1615,2762,developer
TXN-03578,2023-02-16,Al Zahiyah,apartment,3026000,255,11866,fund
TXN-03741,2023-02-16,Al Zahiyah,townhouse,2404000,189,12717,individual
TXN-03931,2023-02-16,Saadiyat Island,office,4232000,209,20250,individual
TXN-04209,2023-02-16,Khalifa City,villa,8216000,594,13832,developer
TXN-00304,2023-02-17,Zayed City,villa,4693000,389,12064,corporate
TXN-01077,2023-02-17,Zayed City,retail,1043000,94,11091,individual
TXN-01514,2023-02-17,Al Reem Island,retail,7676000,514,14934,corporate
TXN-03744,2023-02-17,Al Shamkha,townhouse,2061000,334,6171,individual
TXN-04010,2023-02-17,Al Bahia,retail,9922000,875,11340,individual
TXN-00201,2023-02-18,Al Ghadeer,office,7540000,1092,6905,developer
TXN-00888,2023-02-18,Al Khalidiyah,warehouse,16055000,5472,2934,corporate
TXN-02699,2023-02-18,Al Zahiyah,retail,5864000,437,13418,fund
TXN-02732,2023-02-18,Al Maryah Island,hotel,131468000,9152,14365,individual
TXN-04303,2023-02-18,Al Maqta,office,3010000,297,10134,developer
TXN-00851,2023-02-19,Khalifa City,office,17474000,1486,11759,individual
TXN-02306,2023-02-19,Al Ghadeer,office,2432000,356,6831,corporate
TXN-03185,2023-02-19,Al Bateen,land,62739000,11599,5409,individual
TXN-04471,2023-02-19,Al Maryah Island,apartment,5874000,254,23126,corporate
TXN-00113,2023-02-20,Mussafah,office,7544000,1204,6266,developer
TXN-02372,2023-02-20,Al Shamkha,apartment,1240000,172,7207,individual
TXN-02587,2023-02-20,Al Shamkha,townhouse,1305000,202,6462,corporate
TXN-03188,2023-02-20,Corniche,villa,9558000,646,14795,developer
TXN-00542,2023-02-21,Zayed City,office,14485000,1431,10122,corporate
TXN-00760,2023-02-21,Al Raha Beach,land,197432000,26727,7387,individual
TXN-01833,2023-02-21,Masdar City,land,50403000,9075,5554,individual
TXN-02141,2023-02-21,Al Maqta,retail,8497000,794,10702,developer
TXN-00055,2023-02-22,Al Maryah Island,land,134862000,19734,6834,developer
TXN-03089,2023-02-22,Al Bateen,townhouse,4956000,264,18771,individual
TXN-03386,2023-02-22,Al Zahiyah,apartment,1792000,160,11199,developer
TXN-00824,2023-02-23,Danet Abu Dhabi,apartment,1158000,96,12059,individual
TXN-02294,2023-02-23,Mohammed Bin Zayed City,townhouse,1714000,195,8789,fund
TXN-02559,2023-02-23,Al Maqta,land,39639000,18394,2155,individual
TXN-02719,2023-02-23,Al Raha Beach,apartment,3043000,214,14218,individual
TXN-04787,2023-02-23,Al Reef,office,8529000,873,9770,corporate
TXN-00054,2023-02-24,Al Reem Island,retail,6456000,471,13707,developer
TXN-01324,2023-02-24,Al Bateen,villa,5320000,278,19137,corporate
TXN-01419,2023-02-24,Al Ghadeer,office,4187000,584,7170,corporate
TXN-03016,2023-02-25,Danet Abu Dhabi,office,12839000,1179,10890,fund
TXN-03481,2023-02-25,Al Reef,office,10535000,1319,7987,corporate
TXN-04714,2023-02-25,Masdar City,apartment,1609000,142,11328,individual
TXN-00761,2023-02-26,Al Khalidiyah,apartment,704000,66,10662,individual
TXN-01048,2023-02-26,Al Ghadeer,apartment,1572000,215,7311,corporate
TXN-01788,2023-02-26,Al Reem Island,townhouse,2696000,207,13026,fund
TXN-00222,2023-02-27,Masdar City,warehouse,13118000,3531,3715,individual
TXN-02025,2023-02-27,Danet Abu Dhabi,townhouse,2274000,244,9319,individual
TXN-02248,2023-02-27,Al Shamkha,apartment,1487000,200,7435,corporate
TXN-02608,2023-02-27,Al Maqta,retail,7289000,787,9262,individual
TXN-00142,2023-02-28,Mussafah,apartment,870000,168,5178,fund
TXN-03803,2023-02-28,Yas Island,hotel,85695000,10376,8259,corporate
TXN-04025,2023-02-28,Mussafah,office,6090000,758,8034,individual
TXN-01159,2023-03-01,Danet Abu Dhabi,apartment,665000,63,10556,individual
TXN-04458,2023-03-01,Al Shamkha,apartment,1504000,194,7751,corporate
TXN-04565,2023-03-01,Al Ghadeer,villa,3376000,343,9844,individual
TXN-00479,2023-03-02,Khalifa City,apartment,2076000,233,8912,individual
TXN-00951,2023-03-02,Corniche,apartment,3218000,185,17393,corporate
TXN-02006,2023-03-02,Al Bateen,villa,4966000,269,18462,individual
TXN-04827,2023-03-02,Khalifa City,villa,4399000,505,8711,individual
TXN-01407,2023-03-03,Al Ghadeer,townhouse,2120000,342,6199,corporate
TXN-01447,2023-03-03,Saadiyat Island,villa,7389000,279,26483,individual
TXN-02778,2023-03-03,Corniche,office,9333000,637,14652,corporate
TXN-03295,2023-03-03,Al Maqta,office,13689000,1182,11581,corporate
TXN-04176,2023-03-03,Masdar City,retail,1085000,87,12467,corporate
TXN-00521,2023-03-04,Al Maryah Island,villa,13727000,512,26811,corporate
TXN-01167,2023-03-04,Al Reef,hotel,15291000,4322,3538,developer
TXN-01810,2023-03-04,Al Shamkha,apartment,1775000,232,7653,developer
TXN-02808,2023-03-04,Al Maryah Island,townhouse,7811000,263,29701,corporate
TXN-03328,2023-03-04,Al Shamkha,retail,9210000,769,11976,fund
TXN-04335,2023-03-04,Mohammed Bin Zayed City,office,15965000,1273,12541,individual
TXN-01739,2023-03-05,Al Maqta,office,13672000,1270,10765,developer
TXN-03424,2023-03-05,Corniche,apartment,1222000,96,12726,fund
TXN-03609,2023-03-05,Saadiyat Island,land,149894000,23290,6436,individual
TXN-04069,2023-03-05,Danet Abu Dhabi,retail,13712000,708,19367,developer
TXN-04525,2023-03-05,Yas Island,hotel,79551000,9876,8055,developer
TXN-00160,2023-03-06,Al Zahiyah,apartment,1520000,136,11175,developer
TXN-00678,2023-03-06,Yas Island,villa,3841000,302,12719,corporate
TXN-01370,2023-03-06,Al Ghadeer,villa,2736000,387,7071,individual
TXN-03865,2023-03-06,Al Bahia,office,6216000,890,6984,individual
TXN-01173,2023-03-07,Al Raha Beach,villa,8899000,615,14470,corporate
TXN-01540,2023-03-07,Zayed City,retail,2037000,216,9431,individual
TXN-02688,2023-03-08,Al Bahia,office,2243000,280,8009,corporate
TXN-03231,2023-03-08,Al Bateen,hotel,115952000,9294,12476,individual
TXN-04064,2023-03-08,Al Maqta,apartment,2151000,257,8371,developer
TXN-04189,2023-03-08,Zayed City,townhouse,2465000,199,12385,corporate
TXN-04278,2023-03-08,Al Raha Beach,office,5792000,399,14516,corporate
TXN-04698,2023-03-08,Al Ghadeer,townhouse,1508000,214,7045,developer
TXN-00405,2023-03-09,Zayed City,land,15535000,4325,3592,fund
TXN-02784,2023-03-09,Al Zahiyah,office,9123000,762,11972,fund
TXN-03658,2023-03-09,Corniche,office,7344000,534,13753,fund
TXN-00275,2023-03-10,Al Bateen,office,7559000,388,19481,individual
TXN-00353,2023-03-10,Al Maryah Island,apartment,1345000,60,22411,fund
TXN-01605,2023-03-10,Al Bateen,land,17839000,3250,5489,individual
TXN-01718,2023-03-10,Al Ghadeer,apartment,1687000,193,8741,developer
TXN-02660,2023-03-10,Yas Island,apartment,3814000,239,15957,individual
TXN-02853,2023-03-10,Al Maryah Island,land,101297000,10970,9234,corporate
TXN-03463,2023-03-10,Al Reef,hotel,28993000,6763,4287,corporate
TXN-03733,2023-03-10,Yas Island,hotel,42070000,4558,9230,individual
TXN-01051,2023-03-11,Al Bahia,villa,4289000,593,7233,fund
TXN-01781,2023-03-11,Al Bahia,retail,6092000,790,7711,corporate
TXN-02083,2023-03-11,Mohammed Bin Zayed City,retail,3143000,484,6493,corporate
TXN-03684,2023-03-11,Mussafah,villa,1895000,295,6425,individual
TXN-04791,2023-03-11,Al Reef,land,17214000,6161,2794,developer
TXN-04796,2023-03-11,Mohammed Bin Zayed City,apartment,658000,120,5487,fund
TXN-00162,2023-03-12,Al Reef,apartment,1202000,169,7112,fund
TXN-00176,2023-03-12,Zayed City,hotel,28521000,5718,4988,individual
TXN-00548,2023-03-13,Saadiyat Island,land,80147000,8952,8953,individual
TXN-00862,2023-03-13,Al Khalidiyah,apartment,2840000,204,13920,developer
TXN-01359,2023-03-13,Al Maqta,villa,5667000,473,11982,developer
TXN-03223,2023-03-13,Al Maryah Island,hotel,131196000,11358,11551,developer
TXN-00501,2023-03-14,Corniche,apartment,3015000,172,17529,corporate
TXN-02396,2023-03-14,Al Maqta,hotel,65513000,10343,6334,individual
TXN-02139,2023-03-15,Zayed City,villa,2955000,302,9784,corporate
TXN-00829,2023-03-16,Mohammed Bin Zayed City,warehouse,12476000,5849,2133,individual
TXN-01263,2023-03-16,Al Ghadeer,land,21181000,10676,1984,corporate
TXN-01741,2023-03-16,Al Khalidiyah,land,48045000,11318,4245,individual
TXN-04049,2023-03-16,Mohammed Bin Zayed City,townhouse,2538000,319,7957,individual
TXN-04706,2023-03-16,Masdar City,office,19623000,1427,13751,fund
TXN-01882,2023-03-17,Al Maqta,retail,12239000,790,15493,individual
TXN-03977,2023-03-17,Al Bateen,apartment,2407000,180,13374,individual
TXN-00109,2023-03-18,Zayed City,apartment,979000,104,9417,individual
TXN-01198,2023-03-18,Zayed City,office,12743000,1325,9617,individual
TXN-01870,2023-03-18,Al Shamkha,land,55604000,23591,2357,individual
TXN-00288,2023-03-19,Mussafah,villa,4006000,404,9916,developer
TXN-00423,2023-03-19,Al Khalidiyah,retail,6555000,421,15571,fund
TXN-01625,2023-03-19,Corniche,townhouse,3162000,226,13989,corporate
TXN-01802,2023-03-19,Danet Abu Dhabi,apartment,3093000,253,12226,developer
TXN-02843,2023-03-19,Al Bahia,retail,7539000,822,9172,fund
TXN-04883,2023-03-19,Al Raha Beach,hotel,50771000,5116,9924,fund
TXN-00470,2023-03-20,Al Reem Island,warehouse,13864000,4200,3301,corporate
TXN-01130,2023-03-20,Al Ghadeer,office,4942000,730,6770,developer
TXN-02702,2023-03-20,Al Zahiyah,office,8357000,848,9855,individual
TXN-02733,2023-03-20,Masdar City,villa,10968000,680,16130,individual
TXN-04444,2023-03-20,Al Maqta,villa,5403000,650,8313,corporate
TXN-04594,2023-03-20,Danet Abu Dhabi,warehouse,14466000,3783,3824,corporate
TXN-04834,2023-03-20,Mussafah,land,37319000,21584,1729,fund
TXN-00688,2023-03-21,Al Reef,apartment,945000,158,5982,fund
TXN-01471,2023-03-21,Al Raha Beach,villa,9803000,503,19490,corporate
TXN-01963,2023-03-21,Al Zahiyah,townhouse,4868000,351,13869,individual
TXN-02746,2023-03-21,Mohammed Bin Zayed City,office,11735000,1432,8195,individual
TXN-04002,2023-03-21,Zayed City,apartment,1820000,231,7879,individual
TXN-04322,2023-03-21,Al Reem Island,office,6500000,568,11443,individual
TXN-00556,2023-03-22,Al Zahiyah,office,19790000,1433,13810,developer
TXN-02072,2023-03-22,Al Zahiyah,villa,5878000,613,9589,individual
TXN-03555,2023-03-23,Al Bahia,retail,5895000,696,8470,individual
TXN-00017,2023-03-24,Al Bahia,apartment,1233000,166,7425,corporate
TXN-00083,2023-03-24,Saadiyat Island,townhouse,7776000,356,21842,fund
TXN-01830,2023-03-24,Mussafah,retail,7584000,778,9748,fund
TXN-01877,2023-03-24,Al Raha Beach,villa,7247000,533,13596,individual
TXN-02891,2023-03-24,Al Shamkha,apartment,1758000,240,7327,individual
TXN-03239,2023-03-24,Al Raha Beach,office,6657000,562,11846,individual
TXN-04262,2023-03-24,Al Bahia,villa,4382000,408,10739,developer
TXN-04972,2023-03-24,Al Zahiyah,land,29212000,7910,3693,developer
TXN-00107,2023-03-25,Al Reem Island,townhouse,5143000,286,17981,developer
TXN-00482,2023-03-25,Al Ghadeer,apartment,551000,106,5200,corporate
TXN-01342,2023-03-25,Saadiyat Island,apartment,1683000,93,18095,individual
TXN-02022,2023-03-25,Mohammed Bin Zayed City,townhouse,1956000,220,8892,individual
TXN-02078,2023-03-25,Al Shamkha,office,6336000,711,8911,developer
TXN-03334,2023-03-25,Al Khalidiyah,apartment,2390000,147,16256,developer
TXN-04170,2023-03-25,Saadiyat Island,townhouse,5166000,252,20501,developer
TXN-04590,2023-03-25,Masdar City,office,9560000,593,16121,corporate
TXN-01732,2023-03-26,Masdar City,retail,7410000,532,13929,corporate
TXN-04814,2023-03-26,Al Ghadeer,retail,6814000,800,8518,fund
TXN-04868,2023-03-26,Zayed City,apartment,935000,94,9943,developer
TXN-01092,2023-03-27,Yas Island,apartment,1385000,100,13850,individual
TXN-01145,2023-03-28,Zayed City,apartment,1084000,108,10037,individual
TXN-02310,2023-03-28,Corniche,townhouse,3561000,324,10992,individual
TXN-03775,2023-03-28,Al Reef,office,1504000,235,6399,individual
TXN-04792,2023-03-28,Mohammed Bin Zayed City,warehouse,4426000,2139,2069,developer
TXN-00594,2023-03-29,Khalifa City,apartment,777000,74,10495,fund
TXN-00822,2023-03-30,Al Reef,office,12024000,1469,8185,fund
TXN-00899,2023-03-30,Al Maqta,apartment,2576000,236,10914,corporate
TXN-01772,2023-03-30,Al Khalidiyah,warehouse,7624000,1966,3878,fund
TXN-03655,2023-03-30,Masdar City,townhouse,2817000,239,11785,individual
TXN-03988,2023-03-30,Mussafah,apartment,814000,127,6413,developer
TXN-04853,2023-03-30,Al Bateen,retail,3913000,246,15907,corporate
TXN-02200,2023-03-31,Danet Abu Dhabi,retail,7352000,599,12273,fund
TXN-03263,2023-03-31,Al Ghadeer,land,27002000,14494,1863,corporate
TXN-00843,2023-04-01,Al Khalidiyah,apartment,812000,77,10544,individual
TXN-01913,2023-04-01,Al Bahia,retail,8123000,744,10918,fund
TXN-03111,2023-04-01,Al Reem Island,land,108579000,26007,4175,individual
